carriers,locs,techs,timesteps,carrier_prod
biomass,Mainkofen,supply_biomass,2023-01-15 00:00:00,825.0625
biomass,Mainkofen,supply_biomass,2023-01-15 01:00:00,824.48125
biomass,Mainkofen,supply_biomass,2023-01-15 02:00:00,825.69375
biomass,Mainkofen,supply_biomass,2023-01-15 03:00:00,823.71875
biomass,Mainkofen,supply_biomass,2023-01-15 04:00:00,834.1125
biomass,Mainkofen,supply_biomass,2023-01-15 05:00:00,874.9625
biomass,Mainkofen,supply_biomass,2023-01-15 06:00:00,922.69375
biomass,Mainkofen,supply_biomass,2023-01-15 07:00:00,1013.7563
biomass,Mainkofen,supply_biomass,2023-01-15 08:00:00,1031.5187
biomass,Mainkofen,supply_biomass,2023-01-15 09:00:00,1070.125
biomass,Mainkofen,supply_biomass,2023-01-15 10:00:00,998.6625
biomass,Mainkofen,supply_biomass,2023-01-15 11:00:00,979.4625
biomass,Mainkofen,supply_biomass,2023-01-15 12:00:00,972.36875
biomass,Mainkofen,supply_biomass,2023-01-15 13:00:00,1000.1688
biomass,Mainkofen,supply_biomass,2023-01-15 14:00:00,1011.1937
biomass,Mainkofen,supply_biomass,2023-01-15 15:00:00,997.05
biomass,Mainkofen,supply_biomass,2023-01-15 16:00:00,1007.4625
biomass,Mainkofen,supply_biomass,2023-01-15 17:00:00,1030.5625
biomass,Mainkofen,supply_biomass,2023-01-15 18:00:00,998.6
biomass,Mainkofen,supply_biomass,2023-01-15 19:00:00,966.7875
biomass,Mainkofen,supply_biomass,2023-01-15 20:00:00,952.575
biomass,Mainkofen,supply_biomass,2023-01-15 21:00:00,927.2125
biomass,Mainkofen,supply_biomass,2023-01-15 22:00:00,904.29375
biomass,Mainkofen,supply_biomass,2023-01-15 23:00:00,879.1375
biomass,Mainkofen,supply_biomass,2023-01-16 00:00:00,868.60625
biomass,Mainkofen,supply_biomass,2023-01-16 01:00:00,868.3
biomass,Mainkofen,supply_biomass,2023-01-16 02:00:00,859.075
biomass,Mainkofen,supply_biomass,2023-01-16 03:00:00,870.0875
biomass,Mainkofen,supply_biomass,2023-01-16 04:00:00,885.7625
biomass,Mainkofen,supply_biomass,2023-01-16 05:00:00,928.9875
biomass,Mainkofen,supply_biomass,2023-01-16 06:00:00,1013.0437
biomass,Mainkofen,supply_biomass,2023-01-16 07:00:00,1277.4
biomass,Mainkofen,supply_biomass,2023-01-16 08:00:00,1380.1625
